,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
116,kysyl-syr,100.0,RU,1573579364.0,92.0,63.9,122.77,246.45,2.44
118,gannavaram,20.0,IN,1573579364.0,88.0,16.55,80.83,299.15,2.33
119,harper,1.0,US,1573579364.0,63.0,30.3,-99.24,274.15,7.7
120,bilibino,47.0,RU,1573579364.0,86.0,68.06,166.44,264.12,1.81
121,coquimbo,20.0,CL,1573579205.0,68.0,-29.95,-71.34,291.15,6.2
122,hambantota,56.0,LK,1573579365.0,76.0,6.12,81.12,300.22,4.96
123,nishihara,90.0,JP,1573579365.0,81.0,35.74,139.53,289.26,2.55
124,maceio,75.0,BR,1573579209.0,58.0,-9.67,-35.74,302.15,6.2
125,aswan,35.0,EG,1573579365.0,30.0,24.09,32.9,301.34,5.39
126,arraial do cabo,75.0,BR,1573579365.0,69.0,-22.97,-42.02,297.15,6.2
127,souillac,75.0,FR,1573579365.0,81.0,45.6,-0.6,284.15,1.5
128,mount gambier,90.0,AU,1573579365.0,76.0,-37.83,140.78,282.15,4.6
129,gornopravdinsk,99.0,RU,1573579366.0,96.0,60.06,69.92,256.99,2.11
130,pacific grove,1.0,US,1573579366.0,76.0,36.62,-121.92,294.26,0.69
131,shimoda,89.0,JP,1573579366.0,57.0,34.7,138.93,286.48,7.56
132,beyneu,74.0,KZ,1573579366.0,46.0,45.32,55.19,281.33,3.04
134,tasiilaq,75.0,GL,1573579366.0,74.0,65.61,-37.64,275.15,17.0
135,lebu,75.0,ET,1573579366.0,59.0,8.96,38.73,289.15,4.1
136,manggar,88.0,ID,1573579367.0,76.0,-2.88,108.27,302.17,5.36
139,takhli,13.0,TH,1573579367.0,77.0,15.26,100.34,296.09,0.88
140,new norfolk,75.0,AU,1573579160.0,49.0,-42.78,147.06,281.15,5.1
142,colac,62.0,AU,1573579368.0,95.0,-38.34,143.59,279.82,0.45
143,dikson,100.0,RU,1573579368.0,86.0,73.51,80.55,260.16,5.69
144,san rafael,3.0,AR,1573579368.0,34.0,-34.61,-68.33,302.08,6.18
145,esperance,0.0,AU,1573579368.0,81.0,-33.86,121.89,282.15,3.6
146,cape town,20.0,ZA,1573579074.0,77.0,-33.93,18.42,294.26,8.7
147,grand-lahou,95.0,CI,1573579368.0,80.0,5.24,-5.0,301.01,5.47
148,kvarkeno,49.0,RU,1573579368.0,79.0,52.08,59.73,273.2,3.45
149,hithadhoo,33.0,MV,1573579369.0,81.0,-0.6,73.08,301.09,6.35
150,severo-kurilsk,100.0,RU,1573579369.0,93.0,50.68,156.12,274.23,5.61
151,mehamn,20.0,NO,1573579369.0,73.0,71.03,27.85,269.15,4.6
152,longyearbyen,75.0,NO,1573579369.0,64.0,78.22,15.63,274.15,9.3
153,rognan,75.0,NO,1573579369.0,85.0,67.1,15.4,273.15,12.9
154,shingu,42.0,JP,1573579369.0,61.0,33.72,135.99,288.65,3.18
155,sao filipe,74.0,CV,1573579369.0,78.0,14.9,-24.5,297.08,10.04
156,caranavi,61.0,BO,1573579369.0,53.0,-15.83,-67.57,297.18,1.7
157,santa rosa,52.0,AR,1573579294.0,28.0,-36.62,-64.29,305.59,2.04
158,bethel,1.0,US,1573579370.0,85.0,60.79,-161.76,269.15,6.2
160,olinda,40.0,AU,1573579370.0,81.0,-37.84,145.39,283.71,5.1
161,sinj,75.0,HR,1573579370.0,68.0,43.7,16.64,292.15,10.3
162,hualmay,54.0,PE,1573579370.0,59.0,-11.1,-77.61,296.38,4.65
163,vaini,0.0,IN,1573579371.0,82.0,15.34,74.49,293.13,2.51
164,port lincoln,33.0,AU,1573579371.0,83.0,-34.72,135.86,284.05,4.31
165,novosokolniki,70.0,RU,1573579371.0,84.0,56.35,30.15,276.19,3.63
166,talnakh,40.0,RU,1573579371.0,91.0,69.49,88.39,256.15,5.0
167,pangnirtung,40.0,CA,1573579371.0,67.0,66.15,-65.72,268.15,2.6
168,isla mujeres,75.0,MX,1573579371.0,70.0,21.23,-86.73,302.15,1.5
169,barrow,100.0,AR,1573579371.0,79.0,-38.31,-60.23,295.06,5.78
170,whitehorse,90.0,CA,1573579371.0,85.0,60.72,-135.06,262.59,1.5
171,port augusta,90.0,AU,1573579372.0,62.0,-32.49,137.76,286.15,4.6
172,belaya glina,100.0,RU,1573579372.0,56.0,46.08,40.86,285.93,3.94
173,provideniya,100.0,RU,1573579372.0,98.0,64.42,-173.23,273.64,2.52
174,varkkallai,20.0,IN,1573579372.0,78.0,8.73,76.71,301.15,1.5
175,port hueneme,90.0,US,1573579372.0,93.0,34.15,-119.2,294.82,2.07
176,conakry,20.0,GN,1573579372.0,70.0,9.52,-13.7,304.15,3.1
177,ulladulla,0.0,AU,1573579372.0,100.0,-35.36,150.48,283.15,2.6
178,alice springs,0.0,AU,1573579372.0,22.0,-23.7,133.88,294.15,4.1
180,omboue,100.0,GA,1573579373.0,96.0,-1.57,9.26,296.15,1.1
181,kirovsk,91.0,RU,1573579373.0,94.0,67.62,33.66,262.98,1.7
184,nouakchott,0.0,MR,1573579373.0,47.0,18.08,-15.98,299.15,6.7
185,ossora,79.0,RU,1573579374.0,67.0,59.24,163.07,271.19,3.95
187,cabedelo,40.0,BR,1573579374.0,52.0,-6.97,-34.84,304.15,6.7
188,lasa,4.0,CY,1573579374.0,49.0,34.92,32.53,296.15,2.1
189,leningradskiy,100.0,RU,1573579374.0,93.0,69.38,178.42,270.31,6.95
190,petropavlovka,87.0,RU,1573579374.0,73.0,50.61,105.32,258.36,0.03
191,laguna,20.0,BZ,1573579375.0,70.0,16.17,-88.94,303.15,3.1
192,puerto ayora,40.0,EC,1573579375.0,65.0,-0.74,-90.35,298.15,2.1
193,thompson,20.0,CA,1573579375.0,84.0,55.74,-97.86,258.15,2.6
194,abnub,100.0,EG,1573579375.0,35.0,27.27,31.15,302.15,4.1
195,muros,90.0,ES,1573579375.0,100.0,42.77,-9.06,290.37,4.6
196,flinders,7.0,AU,1573579375.0,100.0,-34.58,150.85,287.59,2.6
198,vangaindrano,82.0,MG,1573579376.0,95.0,-23.35,47.6,295.23,3.91
199,nanortalik,100.0,GL,1573579376.0,93.0,60.14,-45.24,273.05,17.81
200,namatanai,100.0,PG,1573579376.0,85.0,-3.66,152.44,298.5,4.6
201,poum,90.0,MK,1573579376.0,76.0,41.28,20.71,286.15,4.6
202,monterrey,90.0,MX,1573579078.0,95.0,25.67,-100.32,281.48,6.2
203,constitucion,90.0,MX,1573579376.0,63.0,23.99,-104.67,289.15,2.6
204,hilo,1.0,US,1573579376.0,73.0,19.71,-155.08,295.37,3.1
205,semey,93.0,KZ,1573579377.0,68.0,50.41,80.25,269.97,4.21
207,saint-louis,0.0,SN,1573579377.0,54.0,16.03,-16.5,301.15,3.1
209,yulara,43.0,AU,1573579377.0,34.0,-25.24,130.99,293.15,3.6
210,biltine,88.0,TD,1573579377.0,10.0,14.53,20.93,299.93,1.64
211,viedma,61.0,AR,1573579377.0,56.0,-40.81,-62.99,295.59,6.59
212,peleduy,100.0,RU,1573579378.0,95.0,59.63,112.75,249.24,1.84
213,geraldton,90.0,CA,1573579378.0,71.0,49.72,-86.95,257.15,2.1
214,lata,99.0,IN,1573579378.0,28.0,30.78,78.62,270.24,2.33
215,enumclaw,90.0,US,1573579167.0,87.0,47.2,-121.99,282.59,1.5
216,guerrero negro,0.0,MX,1573579378.0,43.0,27.97,-114.04,298.18,1.73
220,faya,40.0,SA,1573579379.0,72.0,18.39,42.45,291.15,3.1
221,port alfred,47.0,ZA,1573579379.0,83.0,-33.59,26.89,293.71,1.34
222,aden,0.0,YE,1573579219.0,62.0,12.79,45.03,299.66,5.35
223,maraa,99.0,BR,1573579379.0,76.0,-1.83,-65.37,300.68,1.35
224,dharmabad,0.0,IN,1573579379.0,79.0,18.89,77.84,293.98,0.87
225,taltal,2.0,CL,1573579379.0,63.0,-25.41,-70.49,291.5,3.11
226,kaitangata,98.0,NZ,1573579380.0,89.0,-46.28,169.85,282.59,0.89
227,kavieng,100.0,PG,1573579380.0,83.0,-2.57,150.8,299.64,6.89
228,faanui,6.0,PF,1573579380.0,80.0,-16.48,-151.75,299.22,9.0
229,kassala,34.0,SD,1573579380.0,24.0,15.45,36.38,305.66,2.75
231,bandarbeyla,0.0,SO,1573579380.0,76.0,9.49,50.81,299.81,7.52
232,chernyshevskiy,100.0,RU,1573579380.0,98.0,63.01,112.47,243.19,1.18
233,emilio carranza,70.0,MX,1573579380.0,93.0,19.97,-96.61,292.93,14.61
234,ribeira grande,20.0,PT,1573579381.0,77.0,38.52,-28.7,293.15,6.7
235,lompoc,1.0,US,1573579381.0,47.0,34.64,-120.46,288.15,2.05
236,narsaq,75.0,GL,1573579381.0,74.0,60.91,-46.05,272.15,2.6
237,matay,99.0,EG,1573579381.0,25.0,28.42,30.79,298.5,4.7
238,morgan city,75.0,US,1573579381.0,70.0,29.7,-91.21,280.37,7.7
239,saint-philippe,90.0,CA,1573579381.0,73.0,45.36,-73.48,269.26,6.7
240,tura,88.0,RU,1573579382.0,98.0,64.27,100.22,241.59,1.12
242,berlevag,20.0,NO,1573579382.0,79.0,70.86,29.09,266.15,5.7
243,bischofswerda,40.0,DE,1573579382.0,80.0,51.13,14.18,278.71,4.1
244,havoysund,73.0,NO,1573579387.0,73.0,71.0,24.66,269.15,7.7
245,demba,95.0,CD,1573579387.0,97.0,-5.47,22.27,294.76,0.78
